preprevword,prevword,word,nextword,nextnextword,preprevtag,prevtag,nexttag,nextnexttag,prevtags,nexttags,class
не,покладать,рук,.,.,PART,V,.,.,PART-V,.-.,орудие
быть,надежда,руки,свой,батюшка,V,S,APRO,S,V-S,APRO-S,конечность
наш,член,руки,нога,все,APRO,S,S,SPRO,APRO-S,S-SPRO,конечность
в,он,руку,на,служение,S,SPRO,PR,S,S-SPRO,PR-S,власть
в,он,руках,твой,выздоровление,S,SPRO,APRO,S,S-SPRO,APRO-S,власть
бы,в,руке,дивиться,что,PART,S,V,SPRO,PART-S,V-SPRO,конечность
словно,божий,рука,касаться,какой-то,PART,A,V,APRO,PART-A,V-APRO,конечность
отдаваться,в,руки,божий,для,V,S,A,PR,V-S,A-PR,власть
что,осязать,руки,наш,возвещать,SPRO,V,APRO,V,SPRO-V,APRO-V,конечность
держать,за,руку,постепенно,ты,V,PR,ADV,SPRO,V-PR,ADV-SPRO,конечность
с,воздевать,руками,молиться,о,S,V,V,INTJ,S-V,V-INTJ,конечность
в,наш,руках,не,наш,S,APRO,PART,APRO,S-APRO,PART-APRO,власть
даже,классный,руководитель,выступать,под,PART,A,V,PR,PART-A,V-PR,владение
рисунок,в,руки,внимательно,рассматривать,S,S,ADV,V,S-S,ADV-V,конечность
делать,он,руки,т,е,V,SPRO,S,S,V-SPRO,S-S,конечность
факел,в,руках,резать,с,S,S,V,S,S-S,V-S,конечность
из,второй,рук,вероятно,в,PR,ANUM,ADV,S,PR-ANUM,ADV-S,очередь
отсюда,уж,рукой,подавать,до,ADVPRO,PART,V,PR,ADVPRO-PART,V-PR,конечность
вносить,чужой,рукою,ритор,.,V,A,S,.,V-A,S-.,орудие
дух,протягивать,руку,будущее,достоевский,S,V,S,S,S-V,S-S,помощь
обработка,поверхность,рукой,мастер,наш,S,S,S,APRO,S-S,S-APRO,орудие
проноситься,в,руках,получатель,10,V,S,S,10,V-S,S-10,конечность
например,на,руках,у,население,ADV,PR,PR,S,ADV-PR,PR-S,владение
кисть,правый,руки,сквозь,веревочный,S,A,PR,A,S-A,PR-A,конечность
двигательный,функция,руки,усложнение,фонетика,A,S,S,S,A-S,S-S,конечность
держать,в,руке,портфель,школьник,V,S,S,S,V-S,S-S,конечность
взмах,могучий,руки,винифред,срубать,S,A,S,V,S-A,S-V,конечность
на,палец,руки,.,.,PR,S,.,.,PR-S,.-.,конечность
она,в,руках,убийца,бежать,SPRO,S,S,V,SPRO-S,S-V,власть
они,с,руки,.,.,SPRO,S,.,.,SPRO-S,.-.,конечность
язык,и,руки,который,не,S,CONJ,APRO,PART,S-CONJ,APRO-PART,конечность
последний,к,рукам,прилипать,28,A,S,V,28,A-S,V-28,конечность
протез,кисть,руки,управляемый,сила,S,S,A,S,S-S,A-S,конечность
расплываться,очертание,рук,не,видеть,V,S,PART,V,V-S,PART-V,конечность
1,в,руках,куртка,и,1,S,S,CONJ,1-S,S-CONJ,конечность
она,собственный,руками,.,.,SPRO,A,.,.,SPRO-A,.-.,орудие
оказываться,в,руках,жрец,сириец,V,S,S,S,V-S,S-S,власть
когда,он,рука,выводить,строка,ADVPRO,SPRO,V,S,ADVPRO-SPRO,V-S,конечность
на,кожа,рук,и,шея,PR,S,CONJ,S,PR-S,CONJ-S,конечность
я,протягивать,руку,к,он,SPRO,V,S,SPRO,SPRO-V,S-SPRO,конечность
играть,на,руку,следовательский,версия,V,PR,A,S,V-PR,A-S,очередь
из,первый,рук,.,.,PR,ANUM,.,.,PR-ANUM,.-.,очередь
водить,он,рукой,определять,всегдашний,V,SPRO,V,A,V-SPRO,V-A,орудие
указывать,один,рукой,в,небо,V,APRO,S,S,V-APRO,S-S,конечность
синий,беспомощный,руки,и,с,A,A,CONJ,S,A-A,CONJ-S,конечность
оккам,в,руках,обручать,антитезис,S,S,V,S,S-S,V-S,конечность
фонарь,в,руках,становиться,спускаться,S,S,V,V,S-S,V-V,конечность
жать,ваш,руку,и,надеяться,V,APRO,CONJ,V,V-APRO,CONJ-V,конечность
в,свой,руки,только,то,S,APRO,PART,PART,S-APRO,PART-PART,владение
однако,невидимый,рука,упорядочивать,социальный,CONJ,A,V,A,CONJ-A,V-A,власть
она,он,руку,щека,спина,SPRO,SPRO,S,S,SPRO-SPRO,S-S,конечность
именно,в,руках,эксперт,при,PART,S,S,PR,PART-S,S-PR,власть
эволюция,невидимый,рука,рынок,.,S,A,S,.,S-A,S-.,сила_власть
но,чужой,руками,.,.,CONJ,A,.,.,CONJ-A,.-.,орудие
слышать,мой,рука,не,тянуться,V,APRO,PART,V,V-APRO,PART-V,конечность
оружие,в,руках,причем,на,S,S,CONJ,PR,S-S,CONJ-PR,конечность
в,один,руках,рано,материальный,S,APRO,ADV,A,S-APRO,ADV-A,власть
через,второй,руки,давать,взятка,PR,ANUM,V,S,PR-ANUM,V-S,очередь
попадаться,под,руку,.,.,V,PR,.,.,V-PR,.-.,недалеко
с,протягивать,рукой,.,.,S,V,.,.,S-V,.-.,конечность
попадать,в,руки,федерал,живой,V,S,S,A,V-S,S-A,власть
время,движение,рука,не,обгорать,S,S,PART,V,S-S,PART-V,конечность
хлопонин,на,руку,если,итог,S,PR,CONJ,S,S-PR,CONJ-S,очередь
фильм,хороший,руки,.,.,S,A,.,.,S-A,.-.,владение
очередь,пожимать,руку,президент,тот,S,V,S,APRO,S-V,S-APRO,конечность
играть,правый,рукой,любимый,покрытие,V,A,A,S,V-A,A-S,конечность
себя,в,руках,но,и,SPRO,S,CONJ,CONJ,SPRO-S,CONJ-CONJ,власть
правило,под,рукой,.,.,S,PR,.,.,S-PR,.-.,недалеко
тема,синица,руках,и,журавль,S,S,CONJ,S,S-S,CONJ-S,конечность
оказываться,в,руках,единый,россия,V,S,A,S,V-S,A-S,власть
попадаться,под,руку,.,.,V,PR,.,.,V-PR,.-.,недалеко
только,с,рук,и,по,PART,S,CONJ,PR,PART-S,CONJ-PR,владение
прибирать,к,рукам,собственный,судьба,V,S,A,S,V-S,A-S,владение
видеть,разводить,руками,леонид,васильевич,V,V,S,S,V-V,S-S,конечность
бронза,в,руках,плоскозвучный,норвежец,S,S,A,S,S-S,A-S,конечность
сходить,с,рук,.,.,V,S,.,.,V-S,.-.,орудие
по,правый,руку,от,буш,PR,A,PR,S,PR-A,PR-S,сторона
держать,в,руках,загадочный,и,V,S,A,CONJ,V-S,A-CONJ,конечность
климин,дрожать,руками,извлекать,на,S,V,V,PR,S-V,V-PR,конечность
в,он,руках,мы,все,S,SPRO,SPRO,SPRO,S-SPRO,SPRO-SPRO,власть
она,под,руки,в,комната,SPRO,PR,S,S,SPRO-PR,S-S,конечность
лицо,по,рукам,и,нога,S,PR,CONJ,S,S-PR,CONJ-S,конечность
чехов,горький,руками,с,голова,S,S,S,S,S-S,S-S,конечность
сжимать,в,руках,красивый,билет,V,S,A,S,V-S,A-S,конечность
она,легкий,руки,выдаваться,лицензия,SPRO,A,V,S,SPRO-A,V-S,состояние
сначала,собственный,руками,создавать,себя,ADV,A,V,SPRO,ADV-A,V-SPRO,орудие
не,окрепнуть,рук,.,.,PART,V,.,.,PART-V,.-.,конечность
нечего,разводить,руками,гаврилов,бюджет,ADV,V,S,S,ADV-V,S-S,конечность
власть,разводить,руками,приносить,извинение,S,V,V,S,S-V,V-S,конечность
минута,альмейда,рукой,останавливать,мяч,S,S,V,S,S-S,V-S,конечность
сыграть,на,руку,скандал,в,V,PR,S,S,V-PR,S-S,очередь
сжинать,в,руках,пульт,как,V,S,S,ADVPRO,V-S,S-ADVPRO,конечность
распространять,свой,рука,владыка,.,V,APRO,S,.,V-APRO,S-.,орудие
палец,на,руках,.,.,S,PR,.,.,S-PR,.-.,конечность
взять,за,руку,в,момент,V,PR,S,S,V-PR,S-S,конечность
от,волнение,руками,в,чикаго,PR,S,S,S,PR-S,S-S,конечность
быть,в,руках,капитан,поиск,V,S,S,S,V-S,S-S,власть
мало,мыть,руки,быть,здоровый,ADV,V,V,A,ADV-V,V-A,конечность
комбинация,в,руках,жонглер,.,S,S,S,.,S-S,S-.,конечность
на,скорый,руку,адидасовский,трилистниковый,PR,A,A,A,PR-A,A-A,орудие
в,левый,руке,сачок,для,S,A,S,PR,S-A,S-PR,конечность
быть,длинный,руки,она,они,V,A,SPRO,SPRO,V-A,SPRO-SPRO,конечность
оттаптывать,огонь,руки,нога,борода,V,S,S,S,V-S,S-S,конечность
по-собачьи,размахивать,руками,и,кричать,ADV,V,CONJ,V,ADV-V,CONJ-V,конечность
семечко,из,рук,.,.,S,PR,.,.,S-PR,.-.,конечность
