class,sentence
орудие,Руки своей батюшке из России публично не подают а потихонечку в тайне подают и здесь уже есть надежда
конечность,Апостол очень трагически это выражает когда взывает к верующим и говорит неужели мы возьмём члены тела Христова то есть наши члены руки ноги всё тело и сделаем их членами блудницы см 1 Кор 6 15
конечность,Мученики исповедники Российские являются славой русской земли перед лицом Божиим свидетелями того что в самые страшные тёмные годины нашей истории издревле и до сих пор были сонмы людей мужчины женщины дети которые так Ему поверили так отдали себя в Его руку на служение что до смерти остались Ему верными
власть,Он говорил одному своему собеседнику Лечись потому что Бог создал и лекарства и врача и в его руках твоё выздоровление
власть,Если бы только мы задумались над тем сколько труда заботы Божией и человеческой за тем куском хлеба который мы едим как мы этот хлеб держали бы в руке дивясь что этот хлеб по слову одного нашего русского молодого богослова это Божия любовь ставшая для нас пищей 25
конечность,Когда я вижу эти слова мне не нужно их читать когда я слышу эти песнопения мне не нужно на них сосредотачиваться как только я вижу слово словно Божия рука касается какой-то струны в моей душе будто в моей душе арфа и вся душа начинает петь
конечность,В немощи да сила Божия совершается но для этого надо отдаться в руки Божии для этого надо отозваться сначала на то вознесение Господне на крест которое нам открывает любовь Господню к нам и свидетельствует как Господь верит в человека
власть,Я говорю знает а не только знало потому что из столетия в столетие все те кто стал верующим это люди так или иначе встретившие Христа и они могут повторить слова одного из Посланий апостола Иоанна О том что мы слышали что видели своими очами что рассматривали и что осязали руки наши возвещаем вам I Ин 1 1 3 мы говорим о том что для нас абсолютно несомненная реальность в пределах нашего опыта
конечность,Ты мне будешь рассказывать всё что захочешь о деревне о семье о детстве о жене обо всем что у тебя в памяти на душе что ты любишь Я тебя буду держать за руку Постепенно тебе станет утомительно говорить тогда я стану говорить больше чем ты
конечность,Ответила земля и стоит этот ответ вовек с воздетыми руками молясь о нас всех и о добрых и о злых никогда не стоя поперёк пути спасения всем прощая
конечность,Кто-то из духовных писателей говорил о том что нищие это наши господа что мы обладаем богатством только для того чтобы им служить что богатство в наших руках не наше что нам поручено им распоряжаться так как Бог распорядился бы давать чтобы ничего не прилипало к рукам чтобы мы ничего не считали своим чтобы мы считали что всё что у нас есть всё без остатка принадлежит тому кому это нужно
власть,К сожалению эти фотографии не вошли в сборник так как при издании книги было решено изменить имена и фамилии детей и даже классный руководитель выступала под своей девичьей фамилией мы опасались что книга попадёт в руки детей или их родителей и мы тогда окажемся в роли подсматривающих что вероятно перекрыло бы все возможности дальнейшей работы
владение,Испытуемый Е рис 1 море что-то похожее на корабль лодка берёт рисунок в руки внимательно рассматривает профиль
конечность,Ещё И М Сеченов исследуя сенсомоторные координации отмечал Чтобы работать правильно человек вынужден неустанно следить глазами за тем что делают его руки т е согласовывать известным образом передвижения тех и других по быстроте и направлению 8 846
конечность,Ср бежал с факелом в руках резал с кувшином на голове но испортил с кувшином на голове мстил с портфелем в руках Наблюдение Наблюдение третье третье
конечность,Исследование текста Элуцидария обнаруживает также влияние идей Августина и других отцов церкви с произведениями которых однако Гонорий был знаком преимущественно из вторых рук вероятно в изложении опять-таки Ансельма 4
очередь,Но зато ведь он открыл как мы уже видели что слово еврей это то же что иерей разумеется в русском языке сфера действия которого как известно с успехом покрывает и Египет и Палестину и Грецию а отсюда уж рукой подать до слова иероглиф
конечность,Попытка Риббека отделить подлинного Ювенала сатирика от ритора находит себе опору в этой двойственности Риббек признавал подлинность только первых девяти и одиннадцатой сатиры но и в этих подлинных сатирах он находил искажения внесённые чужою рукою ритора
орудие,Там он первый связал Пушкина с категорией русского духа протянув руку будущему Достоевскому 34
помощь,Произведённая заново обработка поверхности рукой мастера нашего времени не сохраняет почерк эпохи
орудие,Так согласно некоторым оценкам 46 мексиканских переводов проносятся в руках получателям 10 а во многих африканских странах возможно только 50 переводов осуществляется через официальные каналы 11
конечность,Величина наличной иностранной валюты показывает чистый рост снижение наличной иностранной валюты в кассе банков и вне банковской сферы например на руках у населения
владение,Надев подводные очки продеваю кисть правой руки сквозь верёвочную петлю второй её конец мой товарищ Александр Варфоломеев будет выдавать по мере моего углубления в сифон
конечность,Таким образом процесс исторического развития например ручных орудий и инструментов с этой стороны можно рассматривать как выражающий и закрепляющий достижения в развитии двигательных функций руки усложнение фонетики языков как выражение усовершенствования артикуляции и речевого слуха а прогресс в произведениях искусств как выражение развития эстетических способностей
конечность,Я провела простое исследование суть которого заключалась в следующем я раздала шестилетним дошкольникам карточки на которых были написаны различные эпитеты красивый хороший умный глупый рассеянный и т п Перед ребятами стояли две коробки на одной из которых был изображён играющий ребёнок символизирующий дошкольника а на другой держащий в руке портфель школьник
конечность,Несколькими взмахами могучей руки Винифред срубил священный дуб
конечность,При спокойном с ними обращении они быстро привыкают к человеку и становятся ручными позволяют себя гладить садятся на палец руки
конечность,Молодую женщину охватил ужас Она в руках убийцы Бежать
власть,2 19 Почему механические наручные часы рекомендуется заводить утром а не вечером когда снимают их с руки
конечность,Мусульманин это тот язык и руки которого не причиняют вреда мусульманам
конечность,Утончённый английский джентльмен прибывший защищать дело свободы и социальной справедливости попадает в троцкистскую тюрьму и на фоне неба в клеточку видит трубы нашего крейсера на борту которого прибывший по приказу Сталина то ли Дыбенко то ли Антонов-Овсеенко интриговал против сторонников IV Интернационала и умыкал испанский золотой запас возможно с помощью бывшего троцкиста и тогдашнего разведчика Орлова у последнего к рукам прилипло 28 тысяч тогдашних долларов на которые он вместе с женой прожил скрываясь в Америке до самой смерти кремлёвского тирана
конечность,Заманчива сама цель этой бригады разработчиков получить протез кисти руки управляемый силой воли
конечность,В беззвёздной тьме тают и расплываются очертания рук не видишь коробок спичек поднесённый к глазам
конечность,В руках куртка и жетон с цифрой 1
конечность,Теперь Кеплер вправе сказать что постиг Вселенную так как если бы создал её собственными руками
орудие,Только в 220 году когда власть в Средиземноморье окажется в руках жреца сирийца Элагабала сильнейший и хитрейший из воевод Поднебесной ойкумены Цао Цао принудит последнего ханьского императора Сянь-ди отречься в надежде сделать своего сына Цао Пэя законным Сыном Неба
власть,Однако при всём уважении к великому зоологу придётся признать что в день когда его рука выводила строки этого приговора он был явно не в духе
конечность,В Древнем Египте духи наносились не только на кожу рук и шеи их втирали в волосы и интимные части тела дабы повысить сексуальную привлекательность
конечность,Когда я протягивал руку к его вольере он молниеносно выпрыгивал из воды и вцеплялся в ограду значительно раньше чем я успевал отдёрнуть руку
конечность,Но в следственных делах оставались лишь те документы которые играли на руку следовательской версии выбитой из подследственных иногда пытками и не только физическими
очередь,Сегодня мы слушали человека который играет ключевую роль в корабельной ядерной энергетике так что получили как говорится информацию из первых рук
очередь,Разумеется нельзя приписывать автору того что говорят персонажи однако многое за то что Лермонтов думал так же что мысль о смерти не только как о неизбежном но вечном рядом с которым вера в бессмертие души могла показаться бесплодным самоутешением не покидала писателя и водила его рукой определив всегдашнюю актуальность романа
орудие,Алеф первая буква священного алфавита переворачиваясь превращается в рисунчатый знак головы быка по другой версии в образ человека указывающего одной рукой в небо а другой в землю
конечность,Помощник стоял на коленях разбросав синие беспомощные руки и с пришпиленной к штырю головой
конечность,Автор явно пытается совместить профессии акушера и хирурга с бритвой Оккама в руках обручая антитезис с антиклимаксом
конечность,Одним из первых с фонарём в руках стал спускаться туда Гоголь
конечность,Спасибо Вам отдыхайте хорошенько крепко жму Вашу руку и надеюсь что мы работали вместе не в последний раз
конечность,Он ведь получает в свои руки только то что кто-то за него уже выбрал имеет дело не с динамичной вулканической жизнью современной словесности а только с застывшими кусками литературной лавы
владение,Однако невидимая рука упорядочила социальную среду на привычной для её агентов дефицитарной основе
власть,я погладил её по-русски это предполагало бы что объект ласки собака или кошка в остальных же случаях придётся сказать погладил по щеке голове или погладил её его руку щёку спину и т д
конечность,Получается что именно в руках экспертов при всей их зависимости сосредоточивается совершенно особая власть именно они сообщают авторитет политике и науке
власть,Очевидно что общественное устройство пронизанное явными или неявными голосованиями и как следствие явными или неявными рефлексиями каждого о мыслях других это особое устройство в нём социальная эволюция и институционализация теорий происходят при полном преобладании механизма охвата который собственно и направляет эту эволюцию невидимая рука рынка
сила_власть,Проводится нечто вроде общенадзорного расследования но чужими руками
орудие,Но когда я это слышу моя рука не тянется ни к пистолету ни как у депутата к перу чтобы написать новый закон и запретить безобразие
конечность,На новогодней открытке к 1944 году Дед Мороз нарисован со сталинской трубкой и мешком оружия в руках причём на мешке изображен американский флаг 12
конечность,И какая защита от их произвола Никакой всё в одних руках Раньше материальным обеспечением судов ведал Минюст у которого были и некоторые функции которые позволяли ему проверять что-то по существу судебных дел
власть,Волокита и вымогательства получили такое распространение что и министру юстиции графу В Н Панину однажды пришлось через вторые руки давать взятку чтобы ускорить ход имущественного дела своей дочери
очередь,правило далеко за словами не ходит берёт первое попавшееся под руку
недалеко,Изматывало высокое давление заработанное в годы послевоенного выживания когда довелось ходить с протянутой рукой
конечность,Кроме того вчера появилась информация о том что Чёрный Араб уже попал в руки федералов живым или мёртвым
власть,В области транспортных средств лежит другое изобретение 1994 года перчатка для водителя предназначенная для того чтобы высунутая из окна во время движения рука не обгорала на солнце
